1538047608.984318 5 1 0
1538047608.98443 5 2 0
1538047608.98447 5 3 0
1538047608.984878 4 1 0
1538047608.984975 4 2 0
1538047608.985104 1 1 0
1538047608.98514 1 2 0
1538047608.985171 1 3 0
1538047608.9852 1 4 0
1538047608.98552 3 1 0
1538047608.985575 3 2 0
1538047618.982409 4 1 0
1538047618.982491 4 2 0
1538047618.985647 5 1 0
1538047618.985715 5 2 0
1538047618.985753 5 3 0
1538047618.985878 1 1 0
1538047618.985915 1 2 0
1538047618.985947 1 3 0
1538047618.98598 1 4 0
1538047618.986443 3 1 0
1538047618.986491 3 2 0
1538047628.983708 5 1 0
1538047628.983786 5 2 0
1538047628.983824 5 3 0
1538047628.984104 4 1 0
1538047628.98415 4 2 0
1538047628.986468 1 1 0
1538047628.986537 1 2 0
1538047628.986574 1 3 0
1538047628.986606 1 4 0
1538047628.98672 3 1 0
1538047628.986755 3 2 0
1538051357.552747 1 1 0
1538051357.552868 1 2 0
1538051357.553013 1 3 0
1538051357.553063 1 4 0
1538051357.556857 3 1 0
1538051357.556925 3 2 0
1538051357.557073 4 1 0
1538051357.557112 4 2 0
1538051357.557403 5 1 0
1538051357.557445 5 2 0
1538051357.557478 5 3 0
1538051367.553839 5 1 0
1538051367.553914 5 2 0
1538051367.553953 5 3 0
1538051367.557538 1 1 0
1538051367.557611 1 2 0
1538051367.557647 1 3 0
1538051367.55768 1 4 0
1538051367.557792 3 1 0
1538051367.557828 3 2 0
1538051367.557909 4 1 0
1538051367.557944 4 2 0
1538051377.557853 5 1 0
1538051377.557935 5 2 0
1538051377.557976 5 3 0
1538051377.558125 1 1 0
1538051377.558166 1 2 0
1538051377.558211 1 3 0
1538051377.558244 1 4 0
1538051377.55873 4 1 0
1538051377.558778 4 2 0
1538051377.558889 3 1 0
1538051377.558927 3 2 0
1538051387.558382 5 1 0
1538051387.558466 5 2 0
1538051387.558504 5 3 0
1538051387.558633 1 1 0
1538051387.55867 1 2 0
1538051387.558704 1 3 0
1538051387.558736 1 4 0
1538051387.559069 3 1 0
1538051387.559113 3 2 0
1538051387.559376 4 1 0
1538051387.55942 4 2 0
1538051403.013503 5 1 0
1538051403.013625 5 2 0
1538051403.013692 5 3 0
1538051403.013904 1 1 0
1538051403.013966 1 2 0
1538051403.01402 1 3 0
1538051403.014073 1 4 0
1538051403.014245 3 1 0
1538051403.014303 3 2 0
1538051403.014443 4 1 0
1538051403.014501 4 2 0
1538051413.017246 1 1 7904.628611416575
1538051413.017321 1 2 9472.158352494253
1538051413.01736 1 3 7376.786963910827
1538051413.017395 1 4 8896.331100669799
1538051413.017533 3 1 7377.04918032787
1538051413.017571 3 2 7377.04918032787
